
2022/08/27 (20:07:50) | ===> btop++ v.1.2.8
2022/08/27 (20:07:50) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (14:50:18) | ===> btop++ v.1.2.8
2022/08/29 (14:50:18) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (14:53:12) | ===> btop++ v.1.2.8
2022/08/29 (14:53:12) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:07:25) | ===> btop++ v.1.2.8
2022/08/29 (15:07:25) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:08:07) | ===> btop++ v.1.2.8
2022/08/29 (15:08:07) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:10:13) | ===> btop++ v.1.2.8
2022/08/29 (15:10:13) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:12:31) | ===> btop++ v.1.2.8
2022/08/29 (15:12:31) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:32:09) | ===> btop++ v.1.2.8
2022/08/29 (15:32:09) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (15:32:13) | ===> btop++ v.1.2.8
2022/08/29 (15:32:13) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (16:24:08) | ===> btop++ v.1.2.8
2022/08/29 (16:24:08) | WARNING: Failed to join _runner thread on exit!

2022/08/29 (16:24:22) | ===> btop++ v.1.2.8
2022/08/29 (16:24:22) | WARNING: Failed to join _runner thread on exit!

2022/09/02 (11:02:44) | ===> btop++ v.1.2.9
2022/09/02 (11:02:44) | WARNING: Failed to join _runner thread on exit!
